country,region,year,gdp_growth,inflation_rate,unemployment_rate,fdi_pct_gdp,trade_openness,literacy_rate,population_growth,internet_penetration,government_debt_pct,natural_resources_rents,growth_category
Burundi,East Africa,2001,1.59,6.08,20.74,4.9,54.82,77.23,4.45,36.02,95.25,17.39,low
Gabon,Central Africa,2012,6.72,2.15,16.27,4.51,65.88,56.61,3.06,10.45,62.73,5.35,medium
Sierra Leone,West Africa,2008,6.96,6.94,13.5,2.22,70.42,86.84,3.93,36.47,67.02,3.7,medium
Cabo Verde,West Africa,2008,12.31,7.96,12.98,4.24,83.09,65.38,2.29,25.25,65.11,3.56,high
Eswatini,Southern Africa,2006,3.37,7.61,5.98,7.26,66.18,78.95,2.85,5.17,33.83,1.01,medium
Botswana,Southern Africa,2022,3.13,0.34,1.57,4.01,50.74,70.33,3.72,19.87,37.62,5.17,medium
Sierra Leone,West Africa,2014,6.81,0.94,6.76,0.0,53.46,61.81,3.4,35.16,49.49,1.67,medium
Cameroon,Central Africa,2010,6.96,14.32,11.71,4.01,33.54,47.81,3.03,27.48,74.15,1.94,medium
Zambia,Southern Africa,2004,2.89,1.05,1.0,8.61,93.22,62.38,2.17,35.18,59.66,5.49,high
Kenya,East Africa,2019,3.29,4.46,8.73,0.28,49.18,80.16,2.34,23.82,50.87,4.39,low
Mali,West Africa,2021,6.12,12.75,10.51,3.57,79.35,55.85,3.64,44.38,82.44,1.35,medium
Cabo Verde,West Africa,2000,2.02,0.15,10.71,2.93,65.53,72.92,3.85,13.96,15.35,5.9,low
Senegal,West Africa,2022,3.27,1.5,8.03,3.74,66.07,45.51,1.91,25.36,29.08,7.01,medium
Kenya,East Africa,2016,4.77,7.56,9.95,3.99,57.65,79.04,1.76,31.49,10.0,1.13,medium
Congo,Central Africa,2002,7.49,0.93,22.34,6.35,44.24,70.63,1.6,45.31,79.17,1.31,high
Seychelles,East Africa,2018,2.69,5.64,15.97,3.71,40.63,43.36,3.33,13.69,53.07,5.58,low
Eswatini,Southern Africa,2002,-1.03,12.52,8.64,6.69,94.57,60.97,1.57,8.96,74.33,2.07,low
Madagascar,Southern Africa,2001,-1.25,6.2,11.59,3.21,62.28,81.77,3.32,27.21,52.81,0.56,low
Zimbabwe,Southern Africa,2002,0.72,13.74,11.83,2.62,82.51,42.34,3.05,7.47,75.46,13.46,low
Burundi,East Africa,2011,0.56,2.53,7.39,1.83,87.7,45.72,1.95,3.59,52.46,1.54,low
Côte d'Ivoire,West Africa,2014,4.04,8.9,7.39,0.0,51.78,63.75,4.06,14.59,63.2,12.47,low
Madagascar,Southern Africa,2009,0.93,13.21,18.06,4.19,68.47,99.0,1.04,32.43,60.27,2.81,low
Mozambique,Southern Africa,2002,2.39,2.25,9.48,8.64,60.9,52.89,4.16,6.84,61.75,3.47,medium
Namibia,Southern Africa,2004,2.18,13.16,5.43,4.65,36.86,73.91,2.82,16.81,88.69,1.5,low
Botswana,Southern Africa,2020,3.18,0.7,11.74,5.22,56.29,69.68,0.43,15.07,22.51,14.11,medium
Mauritius,East Africa,2023,8.47,5.98,12.71,2.47,71.75,54.39,4.09,62.95,53.63,2.35,high
Guinea-Bissau,West Africa,2018,6.49,1.18,1.0,2.89,50.02,67.9,3.47,5.41,58.96,1.14,high
Sao Tome and Principe,Central Africa,2002,4.55,8.54,11.76,5.96,53.5,56.94,2.07,53.68,55.97,0.53,medium
Kenya,East Africa,2019,3.12,5.43,17.21,8.52,56.53,58.56,1.54,17.76,47.04,7.59,medium
Djibouti,East Africa,2016,3.2,7.84,14.71,7.22,102.23,35.1,0.93,13.91,44.31,5.42,low
DRC,Central Africa,2012,5.48,11.82,25.38,5.51,23.32,64.56,4.92,22.5,85.6,0.79,low
Rwanda,East Africa,2003,6.25,4.82,19.51,3.59,70.03,81.18,1.58,50.39,53.59,9.84,high
Togo,West Africa,2023,1.78,1.83,20.69,4.02,54.93,66.03,1.24,20.19,103.76,2.5,low
Burkina Faso,West Africa,2010,4.61,13.54,28.8,1.62,47.19,84.63,2.77,37.18,65.57,2.69,low
Algeria,North Africa,2001,-1.59,19.32,16.55,0.0,54.44,75.45,0.86,4.78,49.21,5.59,low
Morocco,North Africa,2005,5.14,13.75,12.98,0.68,73.35,63.93,1.52,3.93,66.05,17.2,low
Equatorial Guinea,Central Africa,2009,6.79,1.02,17.84,3.62,74.49,53.7,3.49,36.02,57.18,3.48,high
Angola,Southern Africa,2001,3.66,11.0,8.64,2.77,63.72,56.25,2.96,14.16,81.84,6.14,low
Angola,Southern Africa,2007,9.95,7.19,12.65,0.0,81.85,38.53,2.11,20.37,31.65,12.56,medium
Cabo Verde,West Africa,2011,1.86,3.88,8.11,3.41,85.38,60.19,2.52,51.73,18.98,9.49,medium
Algeria,North Africa,2022,5.15,0.88,14.39,2.7,76.33,67.63,2.06,17.01,62.22,6.03,medium
Comoros,East Africa,2002,4.39,8.34,8.09,0.57,49.08,95.88,2.44,34.2,71.71,5.22,medium
Cabo Verde,West Africa,2013,4.2,7.57,7.88,2.57,69.89,74.51,1.74,14.24,60.72,8.22,medium
Togo,West Africa,2021,4.16,1.9,14.48,2.7,69.98,49.43,1.92,23.01,68.45,2.2,medium
Sudan,North Africa,2019,4.82,3.4,11.17,1.96,43.69,39.09,1.89,5.0,65.51,4.47,low
Algeria,North Africa,2022,7.04,1.23,1.0,5.82,28.61,61.28,1.77,39.32,25.39,9.32,high
Cameroon,Central Africa,2004,8.63,18.61,3.27,0.0,19.54,79.61,3.54,38.61,60.62,1.08,medium
South Africa,Southern Africa,2019,4.49,4.59,5.12,0.0,61.4,61.03,3.27,39.52,81.34,2.45,medium
Algeria,North Africa,2023,6.95,6.57,6.7,3.51,65.96,74.76,1.57,5.42,58.44,3.26,medium
Zimbabwe,Southern Africa,2007,2.39,5.92,14.49,3.74,36.36,61.74,1.31,32.97,28.8,1.12,low
Kenya,East Africa,2011,6.8,10.87,13.31,4.51,80.92,77.91,2.34,35.59,48.32,4.17,medium
Tunisia,North Africa,2012,2.21,7.37,18.39,2.15,63.04,36.25,4.66,9.65,66.14,0.13,low
Ethiopia,East Africa,2011,7.77,2.09,16.52,1.21,86.99,93.88,1.47,28.69,90.91,23.48,high
Eritrea,East Africa,2006,11.13,4.38,18.43,3.48,67.41,44.98,2.34,29.38,15.87,3.28,medium
Egypt,North Africa,2023,4.13,2.6,15.65,2.4,38.67,79.29,2.59,1.35,62.22,0.89,low
Morocco,North Africa,2022,-2.08,4.08,13.26,7.38,69.17,60.1,2.39,13.81,36.36,3.86,low
Sudan,North Africa,2009,2.86,7.66,18.6,2.69,73.4,62.92,2.04,20.31,65.15,6.4,low
Equatorial Guinea,Central Africa,2019,8.2,4.6,17.52,3.37,49.05,60.66,3.66,9.33,66.76,14.33,medium
Egypt,North Africa,2009,6.16,6.44,14.26,9.69,31.16,69.6,2.95,3.97,50.34,2.02,medium
Senegal,West Africa,2019,5.25,1.29,19.63,3.01,62.01,73.24,3.35,24.54,67.63,4.03,medium
Togo,West Africa,2014,7.53,4.81,1.0,4.89,39.98,84.05,3.09,5.42,77.8,0.6,medium
Benin,West Africa,2011,5.95,8.06,10.26,5.12,82.42,90.34,3.39,15.55,51.71,1.36,medium
Mauritania,West Africa,2003,8.15,7.16,10.17,5.33,51.86,70.97,4.08,52.6,28.26,1.63,high
Guinea-Bissau,West Africa,2015,7.26,3.6,18.92,4.22,94.49,95.85,3.83,4.02,83.51,0.01,medium
Malawi,Southern Africa,2007,9.07,1.63,21.43,3.98,17.52,66.67,4.82,29.45,71.57,3.77,high
Equatorial Guinea,Central Africa,2005,5.58,20.41,3.3,3.75,62.7,84.39,3.72,14.37,66.28,0.9,low
Angola,Southern Africa,2004,7.22,6.5,20.47,2.06,88.59,72.72,1.83,12.45,41.18,3.05,medium
Namibia,Southern Africa,2023,3.58,4.76,4.97,4.31,42.19,55.11,3.35,26.96,74.71,10.1,medium
Benin,West Africa,2002,2.7,1.19,5.15,8.57,56.82,68.26,3.21,13.09,95.85,2.01,medium
Gambia,West Africa,2019,9.62,9.27,10.59,6.53,51.94,74.06,4.42,22.84,52.57,0.03,high
Eswatini,Southern Africa,2020,5.15,6.03,10.09,4.26,46.32,64.42,1.53,40.56,56.89,3.64,medium
Lesotho,Southern Africa,2000,6.91,1.83,2.65,5.64,64.89,72.43,3.06,48.91,33.7,7.58,high
Mauritius,East Africa,2014,4.87,0.09,15.9,1.33,34.09,80.58,1.82,28.69,40.61,12.73,medium
Burundi,East Africa,2013,2.74,5.14,16.08,2.85,57.78,64.58,3.01,27.07,33.51,0.68,low
Egypt,North Africa,2008,4.53,1.39,18.32,5.87,70.32,20.0,2.29,17.78,57.62,10.99,medium
Guinea,West Africa,2016,8.81,3.56,9.4,7.22,55.7,95.21,2.98,14.41,48.18,11.21,high
Morocco,North Africa,2009,6.17,8.1,11.76,1.57,40.0,59.64,1.09,12.39,62.46,6.31,low
Djibouti,East Africa,2010,-0.63,7.93,11.82,2.29,80.6,50.18,3.29,9.01,37.16,3.99,low
Mozambique,Southern Africa,2010,3.85,0.56,22.13,8.95,74.61,44.77,2.71,18.33,51.65,5.13,medium
Mozambique,Southern Africa,2019,9.85,2.85,1.0,3.74,39.18,58.94,2.65,7.48,35.93,0.7,high
Côte d'Ivoire,West Africa,2015,3.86,15.28,6.26,8.06,34.12,54.87,4.45,20.69,58.75,15.31,medium
Congo,Central Africa,2009,-0.9,2.09,12.03,4.02,40.96,51.73,2.12,21.66,22.35,10.73,low
South Africa,Southern Africa,2022,10.18,3.15,5.49,4.12,70.91,52.72,2.84,9.95,58.03,3.24,high
Sao Tome and Principe,Central Africa,2019,6.55,3.66,10.45,2.74,65.51,74.54,2.6,14.79,49.43,1.33,medium
Zambia,Southern Africa,2022,4.29,0.03,11.24,5.86,75.8,99.0,2.7,12.27,58.62,29.19,medium
Cameroon,Central Africa,2017,3.39,8.92,8.05,6.89,53.48,79.77,4.72,24.95,21.95,3.76,medium
Egypt,North Africa,2009,7.75,0.45,12.39,0.91,41.51,85.21,2.56,33.27,68.09,5.41,high
Nigeria,West Africa,2018,2.87,2.16,15.77,2.62,78.38,58.21,1.93,14.75,49.03,18.57,medium
Mali,West Africa,2007,7.94,1.66,10.58,5.79,48.93,66.88,4.37,18.94,59.34,0.84,high
Cabo Verde,West Africa,2006,6.13,5.88,9.28,3.18,63.73,72.68,2.19,25.45,17.6,3.62,medium
Burundi,East Africa,2010,5.23,2.98,11.01,2.27,29.0,53.13,0.89,5.3,30.15,5.85,medium
Djibouti,East Africa,2023,4.94,8.39,11.96,6.02,48.6,57.34,1.76,29.78,47.2,2.63,medium
Kenya,East Africa,2013,3.98,10.26,1.56,6.26,80.19,80.38,1.25,8.44,82.51,4.09,medium
Tanzania,East Africa,2009,7.64,1.08,14.77,2.38,45.67,84.63,0.7,4.93,65.55,8.81,medium
Equatorial Guinea,Central Africa,2011,1.9,1.43,9.29,4.03,76.29,66.21,2.14,18.95,57.6,0.32,medium
Kenya,East Africa,2006,-0.37,6.39,19.57,0.48,13.38,43.49,2.43,39.79,36.51,0.94,low
Egypt,North Africa,2015,6.34,11.04,15.55,1.26,48.81,59.68,3.68,18.42,32.87,3.46,low
Zambia,Southern Africa,2008,6.39,21.34,19.02,3.81,56.57,39.06,3.13,15.59,60.53,8.31,low
Cabo Verde,West Africa,2013,5.94,1.65,5.93,3.58,94.85,66.35,3.08,38.01,69.01,1.64,medium
Mauritania,West Africa,2008,5.72,12.6,9.77,1.08,36.62,69.6,1.61,13.32,59.18,2.49,medium
Tanzania,East Africa,2007,3.54,1.01,4.55,1.71,73.42,60.13,3.38,12.53,89.19,6.71,medium
Equatorial Guinea,Central Africa,2023,6.86,3.57,7.77,0.84,81.14,69.35,3.89,8.39,41.35,1.53,medium
Mauritius,East Africa,2008,4.36,11.29,19.51,4.64,45.57,72.5,2.89,28.31,58.59,10.9,low
Guinea-Bissau,West Africa,2001,3.04,1.82,20.92,0.0,52.53,69.62,2.92,40.45,21.14,6.57,medium
Comoros,East Africa,2009,3.56,1.19,5.11,0.97,62.83,43.37,1.24,52.69,59.22,3.76,high
Mozambique,Southern Africa,2012,10.56,0.26,9.25,0.0,30.37,60.44,3.55,21.94,84.39,3.25,high
Seychelles,East Africa,2002,-0.7,6.42,11.54,4.55,50.9,72.38,4.28,9.41,34.17,2.45,low
Niger,West Africa,2007,6.0,5.79,15.51,0.0,85.52,93.42,2.82,23.6,71.84,2.64,medium
Guinea-Bissau,West Africa,2003,-0.54,25.74,1.44,3.58,70.45,60.11,1.91,12.22,83.82,8.62,low
South Africa,Southern Africa,2012,4.18,4.59,2.38,7.6,56.86,74.92,2.34,42.44,41.21,0.11,high
Gabon,Central Africa,2017,3.2,1.38,14.94,7.68,62.26,80.81,2.08,16.67,64.34,5.32,medium
Libya,North Africa,2023,-1.76,3.19,1.0,0.0,71.62,61.46,2.14,18.8,86.59,14.5,low
Congo,Central Africa,2009,5.67,0.43,9.32,4.25,75.45,85.67,3.15,33.06,59.61,12.85,medium
Sierra Leone,West Africa,2020,3.36,7.53,12.97,1.03,48.87,86.64,2.78,20.08,70.73,4.11,low
Gabon,Central Africa,2005,-1.8,8.94,14.49,0.52,90.69,89.85,3.5,41.74,19.52,0.87,low
Gambia,West Africa,2018,7.02,1.71,11.15,3.22,86.33,73.25,2.87,19.84,66.94,1.26,high
Uganda,East Africa,2013,8.81,2.08,9.81,6.57,73.55,99.0,1.64,41.18,65.34,3.39,high
Equatorial Guinea,Central Africa,2018,8.97,0.54,17.07,5.0,43.14,53.92,2.0,26.2,28.48,1.41,high
Burundi,East Africa,2018,5.58,0.56,13.71,1.71,39.6,99.0,1.94,29.42,35.71,0.73,medium
Niger,West Africa,2012,4.64,3.86,8.12,5.26,53.47,78.83,2.31,54.57,67.08,0.55,high
Benin,West Africa,2006,8.48,5.21,12.23,0.0,61.22,89.13,4.29,5.81,48.95,3.37,medium
Seychelles,East Africa,2012,9.55,0.09,14.3,1.62,24.63,59.24,4.45,10.82,77.24,10.13,medium
Mauritius,East Africa,2019,7.9,7.55,22.31,1.44,69.89,80.2,3.34,17.29,61.21,3.81,medium
Equatorial Guinea,Central Africa,2023,1.68,2.36,16.72,3.7,85.75,90.69,2.62,27.12,56.13,4.81,low
Rwanda,East Africa,2022,5.1,5.74,19.29,2.99,71.53,45.43,1.14,26.94,51.59,0.2,medium
Lesotho,Southern Africa,2004,5.82,5.38,8.34,3.15,46.48,62.06,2.72,4.07,60.85,2.45,medium
Malawi,Southern Africa,2014,-0.93,10.79,8.85,3.06,44.11,26.46,1.71,11.5,71.06,1.82,low
Mauritania,West Africa,2002,5.91,13.71,10.59,3.56,66.0,61.79,4.13,24.85,65.68,5.99,medium
Libya,North Africa,2016,11.32,13.3,11.14,4.85,56.93,50.31,0.89,32.31,46.54,0.45,high
Côte d'Ivoire,West Africa,2023,6.42,2.8,5.95,3.87,68.86,61.08,2.88,32.3,79.79,6.0,high
Madagascar,Southern Africa,2001,8.92,6.65,19.6,2.79,72.03,99.0,1.63,13.3,68.15,1.05,medium
DRC,Central Africa,2015,5.05,1.14,17.3,4.5,81.84,95.92,2.49,5.6,62.7,0.35,medium
Uganda,East Africa,2022,4.28,4.27,10.17,5.57,37.36,39.09,3.17,25.68,56.83,2.89,medium
Senegal,West Africa,2020,5.64,2.5,15.85,2.11,64.43,75.0,3.52,12.8,65.0,3.5,medium
Rwanda,East Africa,2009,2.05,2.75,13.34,3.35,52.73,79.38,2.44,30.1,18.37,6.14,medium
Sudan,North Africa,2002,1.61,10.31,16.32,6.4,58.03,58.92,3.26,5.29,59.83,0.19,low
Zambia,Southern Africa,2022,8.3,16.19,3.93,0.74,77.29,68.21,1.84,48.26,87.8,5.44,medium
Sierra Leone,West Africa,2022,8.62,2.83,11.13,8.01,79.46,69.97,2.75,6.88,59.4,2.88,high
Mozambique,Southern Africa,2013,1.53,11.52,11.65,0.15,87.97,40.76,3.5,15.13,56.67,19.27,low
Niger,West Africa,2023,7.4,3.96,15.74,2.64,68.51,46.44,2.83,8.89,43.08,7.43,medium
Mali,West Africa,2000,4.24,2.15,8.23,1.12,57.8,68.1,1.97,34.05,64.85,9.34,medium
Benin,West Africa,2014,5.52,3.39,1.0,8.97,54.94,66.79,2.22,22.16,51.1,16.08,high
Mali,West Africa,2000,5.88,2.46,5.51,2.24,25.3,52.25,3.52,14.9,81.19,7.17,medium
Gambia,West Africa,2022,7.48,1.08,11.63,2.25,86.79,50.7,1.41,21.19,37.73,1.56,medium
Niger,West Africa,2016,4.75,0.32,12.38,2.57,53.56,63.38,1.56,17.83,45.95,10.96,medium
Senegal,West Africa,2021,8.73,0.19,22.1,3.74,70.12,80.95,3.1,16.99,42.98,10.86,high
Mali,West Africa,2013,5.43,8.75,15.5,2.68,73.58,63.62,2.06,11.7,91.69,3.91,low
Morocco,North Africa,2001,6.37,5.69,12.49,3.17,35.09,94.21,1.05,35.65,51.2,0.39,medium
Mauritania,West Africa,2000,2.0,2.94,11.81,0.0,41.53,52.48,3.85,5.75,44.04,1.43,low
Mozambique,Southern Africa,2008,10.98,4.34,18.63,3.64,90.94,68.48,1.4,22.39,13.19,0.98,high
Cameroon,Central Africa,2017,5.91,29.87,8.46,3.54,65.81,58.62,2.3,7.54,36.77,1.77,low
Lesotho,Southern Africa,2003,6.64,3.81,11.16,6.1,48.39,75.58,1.88,57.57,65.56,5.64,high
Sao Tome and Principe,Central Africa,2020,-0.32,1.65,5.46,6.77,57.47,50.93,2.2,19.94,65.48,0.9,low
Liberia,West Africa,2005,2.03,8.34,20.51,3.03,81.72,99.0,1.62,28.75,41.98,0.05,low
Comoros,East Africa,2011,8.21,0.88,14.35,5.54,78.69,34.57,3.21,5.75,43.09,13.17,medium
Mauritius,East Africa,2004,5.36,6.1,7.75,0.75,30.68,95.88,2.61,5.81,92.2,0.74,medium
Guinea,West Africa,2011,-1.24,3.75,11.31,5.42,92.69,66.62,3.48,27.05,108.93,1.81,low
Gabon,Central Africa,2010,7.61,5.46,15.06,2.07,79.32,74.94,1.89,11.72,78.0,1.23,medium
Niger,West Africa,2000,2.87,2.26,10.5,0.54,56.95,89.02,4.63,31.6,86.19,3.77,medium
Rwanda,East Africa,2013,8.73,3.42,8.79,3.04,36.17,80.44,0.6,17.78,90.43,1.68,high
Burundi,East Africa,2018,4.24,9.67,8.07,7.0,81.08,51.86,0.91,7.59,99.29,3.06,low
Seychelles,East Africa,2022,5.11,0.61,14.03,3.95,69.53,75.8,4.25,32.28,48.96,0.42,medium
Mauritius,East Africa,2007,8.04,10.94,9.85,7.24,30.84,98.61,2.97,35.95,37.43,4.08,high
Guinea,West Africa,2021,1.81,12.42,9.28,1.63,55.36,49.03,2.84,29.14,91.67,1.08,low
Congo,Central Africa,2021,1.52,3.29,3.98,6.12,120.0,99.0,2.93,32.72,35.71,2.25,medium
Ghana,West Africa,2023,3.91,8.63,12.47,1.87,60.33,71.94,3.07,13.02,34.43,3.01,low
Guinea-Bissau,West Africa,2008,6.98,6.77,10.91,4.06,45.16,57.2,2.8,9.34,34.89,2.36,medium
Tunisia,North Africa,2020,0.51,5.03,10.07,4.04,39.83,48.92,1.53,10.75,52.37,3.68,low
Burundi,East Africa,2013,-0.5,9.62,13.19,5.15,95.44,60.98,3.32,15.91,15.31,9.18,low
Gabon,Central Africa,2001,6.97,2.95,16.49,4.13,76.96,29.8,3.16,42.96,26.34,1.8,high
Libya,North Africa,2006,2.69,12.75,16.21,1.65,88.15,57.53,3.93,21.73,42.55,4.43,low
DRC,Central Africa,2016,3.32,16.98,15.32,5.7,64.96,60.27,4.26,28.69,31.08,3.62,low
Cameroon,Central Africa,2003,-1.07,6.65,10.56,7.83,85.08,45.66,2.83,28.0,76.25,5.53,low
Sudan,North Africa,2010,2.46,1.47,8.6,2.04,43.03,78.46,1.27,5.49,55.13,0.88,low
Gambia,West Africa,2018,4.48,0.32,5.74,0.0,63.25,61.06,4.27,25.18,66.54,3.38,medium
Ethiopia,East Africa,2003,7.29,3.47,8.44,4.75,65.74,53.56,1.48,3.81,64.35,0.75,medium
Ghana,West Africa,2011,2.19,0.47,12.12,2.67,87.65,59.14,2.84,24.12,50.86,4.86,medium
Togo,West Africa,2005,9.47,3.22,7.28,3.17,66.38,71.39,2.24,28.65,74.76,0.86,high
Mauritania,West Africa,2012,2.45,17.1,12.58,4.89,47.49,66.32,2.07,13.84,64.04,1.11,low
Benin,West Africa,2005,2.45,9.88,6.21,2.36,61.28,52.38,3.26,4.12,48.63,2.29,low
Eswatini,Southern Africa,2023,9.11,0.55,2.03,2.83,26.47,67.26,2.74,13.53,21.32,3.77,high
Comoros,East Africa,2001,5.13,1.57,16.92,3.25,13.58,64.09,3.01,30.67,65.41,2.05,medium
Uganda,East Africa,2023,2.84,7.71,9.15,7.17,76.63,44.49,1.68,14.36,29.77,5.98,low
Sao Tome and Principe,Central Africa,2019,4.03,21.34,6.98,3.58,52.51,59.81,2.33,0.94,62.61,0.83,low
Sierra Leone,West Africa,2020,8.56,9.13,5.44,0.41,54.77,75.43,1.73,22.76,56.58,4.62,medium
Libya,North Africa,2020,8.9,1.06,14.54,0.51,76.62,75.3,2.3,33.42,27.79,6.71,high
Tanzania,East Africa,2004,2.05,3.48,20.25,3.85,87.94,60.86,2.38,8.23,60.17,5.79,low
Libya,North Africa,2022,4.37,10.92,9.58,0.68,70.69,77.18,4.34,35.92,58.83,2.94,medium
Gambia,West Africa,2014,4.77,5.84,10.71,0.0,98.56,47.36,2.24,16.04,58.9,6.86,medium
Togo,West Africa,2023,1.54,3.17,18.43,5.09,70.05,47.92,0.37,42.4,57.94,2.58,medium
Tanzania,East Africa,2021,4.33,41.91,1.14,5.21,66.04,60.48,3.9,32.94,41.95,0.42,low
Burundi,East Africa,2013,4.52,8.73,23.8,2.58,64.81,91.96,2.95,30.01,66.83,2.07,low
Cabo Verde,West Africa,2008,7.92,4.5,26.66,4.23,34.29,67.94,2.37,20.19,41.25,2.74,medium
Gambia,West Africa,2002,8.12,7.91,1.0,3.97,79.12,60.04,2.06,21.16,33.51,0.07,high
Uganda,East Africa,2002,3.51,1.84,11.41,5.01,11.09,92.79,1.55,26.35,68.49,3.05,medium
Sao Tome and Principe,Central Africa,2009,3.86,12.81,7.69,5.01,48.27,59.84,4.44,21.22,73.73,0.31,medium
Sao Tome and Principe,Central Africa,2019,6.49,5.11,10.41,0.0,60.46,99.0,2.55,11.57,67.12,8.33,medium
Sudan,North Africa,2012,2.74,8.19,9.49,2.9,44.2,55.8,0.76,32.29,50.86,0.18,medium
Guinea-Bissau,West Africa,2011,6.27,36.57,16.87,4.79,50.96,46.79,2.83,36.37,16.21,2.71,low
Zambia,Southern Africa,2005,4.24,4.84,11.32,2.47,96.79,62.01,3.71,4.33,84.63,4.9,low
Togo,West Africa,2013,1.59,4.5,6.53,3.59,82.08,60.52,2.66,22.91,15.9,9.58,medium
Zimbabwe,Southern Africa,2015,1.63,5.34,10.97,5.38,46.28,50.46,1.6,33.92,66.72,2.07,low
Lesotho,Southern Africa,2023,8.84,2.96,15.09,3.7,50.61,99.0,1.51,28.35,97.2,2.83,high
Namibia,Southern Africa,2017,4.03,5.98,4.9,7.27,34.46,70.74,1.58,23.7,57.99,1.29,medium
Lesotho,Southern Africa,2014,9.42,0.51,2.12,6.32,74.1,73.36,4.02,26.94,60.82,5.32,high
Cabo Verde,West Africa,2021,2.96,13.57,23.96,3.2,55.01,56.69,2.43,11.43,62.59,1.32,low
Sao Tome and Principe,Central Africa,2010,5.37,31.29,8.15,3.0,20.67,54.6,0.82,58.42,58.96,5.04,low
Tanzania,East Africa,2022,11.68,4.75,11.18,0.0,62.02,83.46,2.88,7.36,102.01,4.76,medium
Côte d'Ivoire,West Africa,2008,1.33,0.08,9.61,2.68,68.78,34.83,2.64,12.86,38.14,11.66,low
Gambia,West Africa,2003,-1.19,2.4,15.29,0.12,79.26,44.43,2.05,27.29,35.63,3.28,low
Togo,West Africa,2010,8.36,0.08,22.64,4.05,58.53,60.55,1.48,20.78,48.45,1.63,medium
Egypt,North Africa,2003,2.02,1.17,15.48,3.88,52.55,89.32,1.44,49.46,89.82,1.69,medium
Tanzania,East Africa,2002,4.44,16.53,2.89,5.24,99.73,58.26,3.59,11.74,43.46,18.24,low
Burundi,East Africa,2021,2.74,3.52,3.7,6.99,60.13,72.49,2.75,13.13,63.61,1.74,medium
Sierra Leone,West Africa,2019,5.3,4.69,9.61,3.43,74.39,65.5,2.98,9.3,76.42,5.21,medium
Sudan,North Africa,2005,1.65,5.69,10.39,9.2,49.21,88.33,2.74,41.88,70.58,6.91,medium
Sudan,North Africa,2020,3.96,1.66,1.67,4.08,73.8,36.47,2.83,10.06,75.36,10.91,medium
Uganda,East Africa,2001,5.85,13.34,16.92,0.22,30.89,78.25,2.03,39.45,83.36,3.14,low
South Africa,Southern Africa,2006,1.48,6.94,5.48,2.09,50.76,61.42,2.29,30.87,61.16,20.24,low
Nigeria,West Africa,2016,2.4,7.27,20.96,2.57,35.83,81.65,3.66,17.1,45.86,1.46,low
South Africa,Southern Africa,2007,3.46,5.23,22.92,4.98,47.9,50.25,3.91,15.79,57.94,2.8,low
Rwanda,East Africa,2017,0.21,8.57,10.51,1.13,85.01,65.44,1.28,21.28,48.22,6.83,low
Rwanda,East Africa,2020,3.23,3.76,14.63,2.76,47.75,63.15,2.29,29.33,105.43,12.91,low
Liberia,West Africa,2001,4.86,10.5,4.61,3.1,74.37,46.96,3.34,36.96,44.35,1.04,medium
Burundi,East Africa,2000,3.3,5.79,15.74,2.38,90.35,41.95,4.38,35.56,64.66,9.0,low
Gambia,West Africa,2022,3.69,0.34,9.01,5.53,59.45,54.55,4.28,12.67,24.98,1.91,medium
Gabon,Central Africa,2012,4.44,0.65,5.48,5.1,79.88,67.34,1.7,46.69,57.66,3.22,high
Cabo Verde,West Africa,2012,2.53,3.32,10.26,6.42,70.62,51.38,3.78,16.99,49.26,4.52,medium
Lesotho,Southern Africa,2011,6.57,0.23,9.21,2.67,62.33,59.06,2.56,35.86,68.51,14.88,high
Benin,West Africa,2010,8.81,0.56,10.05,6.51,75.01,31.06,3.54,17.4,69.04,14.51,high
Guinea,West Africa,2016,3.11,3.24,17.7,0.09,96.8,58.33,3.29,31.11,83.34,4.8,low
Mozambique,Southern Africa,2013,5.96,2.42,7.29,0.03,47.25,83.42,1.24,45.33,81.75,5.26,high
Togo,West Africa,2003,3.78,7.19,22.41,0.47,40.82,77.69,3.05,28.73,53.67,28.09,low
Uganda,East Africa,2015,5.6,2.05,4.05,3.52,39.64,63.44,3.51,49.23,36.11,6.53,high
Cabo Verde,West Africa,2016,9.2,2.17,21.69,6.51,79.89,69.39,2.48,6.6,38.46,6.12,medium
Mauritius,East Africa,2002,6.03,3.2,5.9,1.99,82.59,50.09,2.25,17.89,61.05,3.72,medium
Kenya,East Africa,2009,-0.82,0.26,11.99,2.31,49.26,94.24,0.93,15.33,58.16,1.42,low
Lesotho,Southern Africa,2018,5.86,7.15,9.06,2.96,17.28,99.0,3.18,39.28,60.16,1.73,medium
Kenya,East Africa,2014,8.2,9.24,9.94,4.93,46.5,67.97,2.71,27.46,44.3,5.22,medium
Gambia,West Africa,2003,3.84,24.69,16.81,2.31,70.96,99.0,1.58,15.74,83.74,3.11,low
Tanzania,East Africa,2000,7.49,10.56,21.0,2.17,58.67,52.76,2.17,18.16,25.55,5.31,low
Guinea,West Africa,2013,2.43,2.63,19.14,0.14,63.61,42.48,2.65,54.52,43.19,9.22,medium
Congo,Central Africa,2011,0.04,10.34,9.57,2.07,49.53,52.23,1.94,15.82,33.46,0.91,low
Gambia,West Africa,2023,4.92,35.25,13.11,6.44,80.28,61.05,2.5,21.18,50.82,0.93,low
